data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_1,OMP_48,2,13.975,581.843,-88901422.374,19.949,12.619
AA,unrooted,LG,tree_10,OMP_48,8,14.911,607.887,-86714228.485,19.208,13.499
AA,unrooted,LG,tree_10,OMP_48,10,14.778,604.025,-86714228.485,19.208,13.338
AA,unrooted,LG,tree_10,OMP_48,2,14.853,607.484,-86714228.485,19.208,13.44
AA,unrooted,LG,tree_10,OMP_48,4,14.192,578.773,-86714228.485,19.208,12.709
AA,unrooted,LG,tree_10,OMP_10,2,39.915,359.601,-86714228.485,19.208,38.185
AA,unrooted,LG,tree_10,OMP_10,4,39.82,379.504,-86714228.485,19.208,38.545
AA,unrooted,LG,tree_10,OMP_10,8,37.073,337.883,-86714228.485,19.208,35.756
AA,unrooted,LG,tree_10,OMP_48,9,15.206,617.397,-86714228.485,19.208,13.741
AA,unrooted,LG,tree_10,OMP_48,5,17.178,623.24,-86714228.485,19.208,14.579
AA,unrooted,LG,tree_10,OMP_48,3,17.8,622.39,-86714228.485,19.208,16.456
AA,unrooted,LG,tree_10,OMP_10,5,35.728,327.96,-86714228.485,19.208,34.515
AA,unrooted,LG,tree_10,OMP_10,3,38.058,363.066,-86714228.485,19.208,36.838
AA,unrooted,LG,tree_10,OMP_10,9,38.355,364.685,-86714228.485,19.208,37.102
AA,unrooted,LG,tree_10,OMP_48,6,19.722,673.613,-86714228.485,19.208,18.343
AA,unrooted,LG,tree_10,OMP_10,10,38.422,365.875,-86714228.485,19.208,37.18
AA,unrooted,LG,tree_10,OMP_10,6,60.973,401.914,-86714228.485,19.208,59.613
AA,unrooted,LG,tree_10,OMP_48,7,19.436,647.328,-86714228.485,19.208,18.06
AA,unrooted,LG,tree_10,OMP_48,1,18.123,637.409,-86714228.485,19.208,16.807
AA,unrooted,LG,tree_10,OMP_10,7,38.159,364.041,-86714228.485,19.208,36.912
AA,unrooted,LG,tree_10,OMP_10,1,38.309,365.436,-86714228.485,19.208,37.065
AA,unrooted,LG,tree_2,OMP_10,4,30.583,288.504,-90504713.177,20.312,29.308
AA,unrooted,LG,tree_2,VANILA,2,219.924,213.314,-90504713.177,20.312,217.055
AA,unrooted,LG,tree_2,OMP_48,9,11.555,459.643,-90504713.177,20.312,10.044
AA,unrooted,LG,tree_2,OMP_48,6,11.418,445.763,-90504713.177,20.312,10.183
AA,unrooted,LG,tree_2,OMP_10,3,29.796,281.026,-90504713.177,20.312,28.539
AA,unrooted,LG,tree_2,VANILA,1,212.665,206.366,-90504713.177,20.312,209.917
AA,unrooted,LG,tree_2,OMP_48,1,11.656,452.497,-90504713.177,20.312,10.45
AA,unrooted,LG,tree_2,OMP_48,10,13.348,468.661,-90504713.177,20.312,12.122
AA,unrooted,LG,tree_2,OMP_48,7,11.589,450.793,-90504713.177,20.312,10.353
AA,unrooted,LG,tree_2,OMP_48,8,15.711,500.071,-90504713.177,20.312,14.346
AA,unrooted,LG,tree_2,VANILA,9,220.888,214.38,-90504713.177,20.312,217.78
AA,unrooted,LG,tree_2,VANILA,7,214.832,208.16,-90504713.177,20.312,211.446
AA,unrooted,LG,tree_2,OMP_10,5,29.829,268.154,-90504713.177,20.312,28.544
AA,unrooted,LG,tree_2,VANILA,10,216.488,210.304,-90504713.177,20.312,213.501
AA,unrooted,LG,tree_2,VANILA,4,220.683,214.555,-90504713.177,20.312,217.816
