data_type,tree_type,model,tree,backend,run,walltime,cputime,log_likelihood,tree_length,opt_time
AA,unrooted,LG,tree_6,OMP_10,4,40.736,385.819,-84301496.968,18.591,39.467
AA,unrooted,LG,tree_6,OMP_48,9,18.797,631.173,-84301496.968,18.591,17.361
AA,unrooted,LG,tree_6,OPENACC,8,31.655,31.235,-84301496.968,18.591,28.676
AA,unrooted,LG,tree_6,OPENACC,6,31.91,31.472,-84301496.968,18.591,28.834
AA,unrooted,LG,tree_6,OMP_48,6,16.6,651.152,-84301496.968,18.591,15.325
AA,unrooted,LG,tree_6,OPENACC,9,30.391,30.073,-84301496.968,18.591,27.585
AA,unrooted,LG,tree_6,OPENACC,7,30.77,30.399,-84301496.968,18.591,27.907
AA,unrooted,LG,tree_6,OPENACC,1,31.107,30.74,-84301496.968,18.591,28.213
AA,unrooted,LG,tree_6,OMP_10,10,39.961,378.54,-84301496.968,18.591,38.712
AA,unrooted,LG,tree_6,OMP_10,2,66.077,431.836,-84301496.968,18.591,64.392
AA,unrooted,LG,tree_6,OMP_48,7,15.139,611.375,-84301496.968,18.591,13.898
AA,unrooted,LG,tree_6,OMP_48,10,14.868,608.039,-84301496.968,18.591,13.436
AA,unrooted,LG,tree_6,OPENACC,2,31.899,31.473,-84301496.968,18.591,28.839
AA,unrooted,LG,tree_6,OPENACC,3,30.655,30.291,-84301496.968,18.591,27.844
AA,unrooted,LG,tree_6,OMP_48,8,15.095,613.219,-84301496.968,18.591,13.846
AA,unrooted,LG,tree_6,OMP_10,5,37.442,348.739,-84301496.968,18.591,36.045
AA,unrooted,LG,tree_6,OMP_48,4,15.052,604.544,-84301496.968,18.591,13.866
AA,unrooted,LG,tree_6,OPENACC,2,30.734,30.337,-84301496.968,18.591,27.838
AA,unrooted,LG,tree_6,OPENACC,3,30.926,30.549,-84301496.968,18.591,28.156
AA,unrooted,LG,tree_6,OMP_10,9,39.879,377.905,-84301496.968,18.591,38.663
AA,unrooted,LG,tree_6,OMP_10,6,42.702,380.83,-84301496.968,18.591,41.324
AA,unrooted,LG,tree_6,OMP_48,3,14.46,595.049,-84301496.968,18.591,13.074
AA,unrooted,LG,tree_6,OPENACC,1,30.812,30.452,-84301496.968,18.591,27.961
AA,unrooted,LG,tree_6,OPENACC,10,30.832,30.449,-84301496.968,18.591,27.92
AA,unrooted,LG,tree_6,OMP_10,1,40.176,380.409,-84301496.968,18.591,38.875
AA,unrooted,LG,tree_6,OMP_10,7,39.781,377.319,-84301496.968,18.591,38.571
AA,unrooted,LG,tree_6,OMP_10,8,38.014,352.943,-84301496.968,18.591,36.443
AA,unrooted,LG,tree_6,OPENACC,6,31.795,31.373,-84301496.968,18.591,28.755
AA,unrooted,LG,tree_6,OPENACC,8,30.514,30.162,-84301496.968,18.591,27.701
AA,unrooted,LG,tree_6,OMP_48,5,15.255,613.759,-84301496.968,18.591,13.94
AA,unrooted,LG,tree_6,OPENACC,7,30.569,30.212,-84301496.968,18.591,27.728
AA,unrooted,LG,tree_6,OPENACC,9,30.616,30.196,-84301496.968,18.591,27.723
AA,unrooted,LG,tree_6,OPENACC,5,31.984,31.594,-84301496.968,18.591,28.916
AA,unrooted,LG,tree_6,OPENACC,4,30.554,30.206,-84301496.968,18.591,27.707
AA,unrooted,LG,tree_6,OMP_48,2,20.064,625.794,-84301496.968,18.591,16.781
AA,unrooted,LG,tree_7,OMP_10,5,36.036,330.219,-87134163.126,19.77,34.745
AA,unrooted,LG,tree_7,OMP_48,8,14.341,586.481,-87134163.126,19.77,12.929
AA,unrooted,LG,tree_7,OPENACC,2,30.231,29.831,-87134163.126,19.77,27.397
AA,unrooted,LG,tree_7,OMP_48,10,16.941,641.858,-87134163.126,19.77,15.349
AA,unrooted,LG,tree_7,OMP_48,7,19.15,642.416,-87134163.126,19.77,17.764
AA,unrooted,LG,tree_7,OPENACC,3,30.565,30.19,-87134163.126,19.77,27.708
AA,unrooted,LG,tree_7,OMP_10,2,67.01,431.571,-87134163.126,19.77,65.373
AA,unrooted,LG,tree_7,OPENACC,10,30.323,29.932,-87134163.126,19.77,27.452
AA,unrooted,LG,tree_7,OPENACC,1,30.2,29.836,-87134163.126,19.77,27.388
AA,unrooted,LG,tree_7,OMP_10,10,38.129,362.747,-87134163.126,19.77,36.879
AA,unrooted,LG,tree_7,OMP_48,6,19.376,636.239,-87134163.126,19.77,17.971
AA,unrooted,LG,tree_7,OPENACC,6,31.413,30.993,-87134163.126,19.77,28.415
AA,unrooted,LG,tree_7,OPENACC,8,30.085,29.736,-87134163.126,19.77,27.294
AA,unrooted,LG,tree_7,OPENACC,7,30.525,30.165,-87134163.126,19.77,27.661
