data_type,topology,model,tree,ll_VANILA,time_VANILA,uf_VANILA,rates_VANILA,ll_OPENACC,time_OPENACC,uf_OPENACC,rates_OPENACC,ll_diff
DNA,rooted,GTR+I+G4,tree_7,-15.4134,0.0387048,0,,-15.4134,0.212308,0,,0.0
DNA,rooted,GTR+I+G4,tree_8,-30.3507,0.0913261,0,,-30.3469,0.676619,0,,0.0037999999999982492
DNA,rooted,GTR+I+G4,tree_9,-10.889,0.0277539,0,,-10.889,0.166003,0,,0.0
DNA,rooted,GTR+R4,tree_1,-26.1687,0.0260026,0,"(0.2339,0.1907) (0.2293,0.5976) (0.2662,1.477) (0.2707,1.571)",-26.2592,0.137998,0,"(0.2388,1) (0.2489,1) (0.2558,1) (0.2565,1)",0.09049999999999869
DNA,rooted,GTR+R4,tree_10,-21.9917,0.0172576,0,"(0.213,0.8984) (0.2529,0.9994) (0.2695,1.029) (0.2646,1.052)",-21.9907,0.106224,0,"(0.2625,1) (0.2467,1) (0.2583,1) (0.2326,1)",0.0010000000000012221
DNA,rooted,GTR+R4,tree_2,-38.5182,0.0547253,0,"(0.2084,0.56) (0.2845,0.9889) (0.2938,1.111) (0.2133,1.292)",-38.7862,0.060178,0,"(0.2493,0.9995) (0.2393,1) (0.2539,1) (0.2574,1)",0.2680000000000007
DNA,rooted,GTR+R4,tree_3,-23.9302,0.0292152,0,"(0.2237,0.328) (0.2499,0.873) (0.2653,1.234) (0.261,1.46)",-23.9877,0.0764761,0,"(0.2434,0.9995) (0.248,0.9999) (0.2529,1) (0.2557,1)",0.057500000000000995
DNA,rooted,GTR+R4,tree_4,-26.2633,0.0524924,0,"(0.3075,0.1814) (0.2494,0.1814) (0.2891,0.1814) (0.154,5.497)",-27.6657,0.0667841,0,"(0.2118,0.856) (0.1982,0.8565) (0.206,0.8567) (0.3839,1.23)",1.4024
DNA,rooted,GTR+R4,tree_5,-15.7925,0.0642315,0,"(0.2319,0.9243) (0.2562,1.009) (0.2617,1.026) (0.2501,1.033)",-15.7922,0.0851741,0,"(0.2534,1) (0.2464,1) (0.2519,1) (0.2483,1)",0.0003000000000010772
DNA,rooted,GTR+R4,tree_6,-17.4709,0.0296199,0,"(0.3979,0.08876) (0.3197,0.08878) (0.1425,3.286) (0.14,3.345)",-18.4377,0.143778,0,"(0.2309,0.9484) (0.2367,0.9484) (0.2535,0.9484) (0.2789,1.133)",0.9667999999999992
DNA,rooted,GTR+R4,tree_7,-28.7871,0.0155238,0,"(0.2067,0.9995) (0.2811,1) (0.2605,1) (0.2518,1)",-28.7871,0.144963,0,"(0.2246,1) (0.2505,1) (0.2714,1) (0.2535,1)",0.0
DNA,rooted,GTR+R4,tree_8,-17.9424,0.0199012,0,"(0.2488,0.0975) (0.2343,0.09992) (0.2659,1.791) (0.251,1.897)",-17.6188,0.122953,0,"(0.2705,1) (0.2523,1) (0.2426,1) (0.2346,1)",0.323599999999999
DNA,rooted,GTR+R4,tree_9,-29.7766,0.0236889,0,"(0.2708,0.9997) (0.2385,0.9998) (0.1989,1) (0.2917,1)",-29.7775,0.234602,0,"(0.2371,1) (0.2172,1) (0.2821,1) (0.2637,1)",0.0009000000000014552
DNA,unrooted,GTR,tree_1,-28.3494,0.0304092,0,,-28.3491,0.108261,0,,0.0002999999999993008
DNA,unrooted,GTR,tree_10,-18.67,0.0538306,0,,-18.67,0.0332699,0,,0.0
DNA,unrooted,GTR,tree_2,-19.0819,0.0592398,0,,-19.0819,0.0655749,0,,0.0
DNA,unrooted,GTR,tree_3,-21.3187,0.034114,0,,-21.3193,0.129014,0,,0.0005999999999986017
DNA,unrooted,GTR,tree_4,-19.7366,0.0435077,0,,-19.7366,0.047833,0,,0.0
DNA,unrooted,GTR,tree_5,-21.984,0.0466415,0,,-21.9801,0.0702991,0,,0.003900000000001569
DNA,unrooted,GTR,tree_6,-30.3326,0.173992,0,,-30.3326,0.096863,0,,0.0
DNA,unrooted,GTR,tree_7,-20.9363,0.0415551,0,,-20.9363,0.0789859,0,,0.0
DNA,unrooted,GTR,tree_8,-31.196,0.0690795,0,,-31.196,0.060075,0,,0.0
DNA,unrooted,GTR,tree_9,-15.7751,0.0786461,0,,-15.7751,0.051626,0,,0.0
DNA,unrooted,GTR+G4,tree_1,-15.4242,0.075234,0,,-15.4242,0.0561531,0,,0.0
DNA,unrooted,GTR+G4,tree_10,-30.5395,0.0218813,0,,-30.5394,0.0934908,0,,9.999999999976694e-05
DNA,unrooted,GTR+G4,tree_2,-20.0359,0.0352385,0,,-20.0359,0.076309,0,,0.0
