file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-G4_100taxa_100000len_modelwise_te.log,DNA,GTR+I+G4,100,100000,cpu_OMP_104,GTR+G4,COMPLETE,gadi-cpu-spr-0286.gadi.nci.org.au,5.161,0.0,-5692973.087,3715.554,,,,1479.73
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I-G4_100taxa_100000len_modelwise_te.log,DNA,GTR+I+G4,100,100000,cpu_OMP_104,GTR+I+G4,COMPLETE,gadi-cpu-spr-0572.gadi.nci.org.au,128.37,0.0,-5692973.086,89490.902,,,,1482.574
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR-I_100taxa_100000len_modelwise_te.log,DNA,GTR+I+G4,100,100000,cpu_OMP_104,GTR+I,COMPLETE,gadi-cpu-spr-0571.gadi.nci.org.au,3.29,0.0,-6054682.646,2429.558,,,,619.914
output_cpu_modelwisetest_DNA_GTR+I+G4_OMP_104_taxa100_run1_tree_1_100000_iqtree3_DNA_INTEL_VANILA_OMP104_GTR_100taxa_100000len_modelwise_te.log,DNA,GTR+I+G4,100,100000,cpu_OMP_104,GTR,COMPLETE,gadi-cpu-spr-0573.gadi.nci.org.au,2.771,0.0,-6075199.441,1856.808,,,,619.746
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR-G4_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,cudajolt_H200,GTR+G4,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,1.227,0.0,-5692972.984,,,,,
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR-I-G4_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,cudajolt_H200,GTR+I+G4,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,9.436,0.0,-5692972.899,,,,,
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR-I_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,cudajolt_H200,GTR+I,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,2.715,0.0,-6054682.646,,,,,
output_cudajolt_modelwise_DNA_GTR+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_100000_iqtree3_DNA_IQTREE_GPU_SHARED_H200_GTR_100taxa_100000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,cudajolt_H200,GTR,COMPLETE,gadi-gpu-h200-0012.gadi.nci.org.au,0.883,0.0,-6075199.436,,,,,
output_openacc_stable_modelwise_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-G4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,openACC_H200,GTR+G4,COMPLETE,gadi-gpu-h200-0002.gadi.nci.org.au,3.886,0.005,-5692973.427,1092.618,862.002,2544.688,1670.0,356.926
output_openacc_stable_modelwise_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_iqtree.log,DNA,GTR+I+G4,100,100000,openACC_H200,GTR+I+G4,COMPLETE,gadi-gpu-h200-0012.gadi.nci.org.au,118.823,0.006,-5692973.426,27951.123,27799.727,2544.688,1670.0,356.961
