file,datatype,sim_model,taxa,sites,build,inference_model,status,host,wall_total_s,wall_tree_s,best_logL,energy_cpu_J,energy_gpu_J,gpu_mem_peak_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,logL_ref,delta_logL,rel_diff
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R1_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R1,COMPLETE,gadi-cpu-spr-0570.gadi.nci.org.au,19.09,0.0,-83153299.507,14120.931,,,,17766.191,-83153299.507,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R2_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R2,COMPLETE,gadi-cpu-spr-0696.gadi.nci.org.au,58.198,0.0,-79416820.101,41921.844,,,,46430.773,-79416820.101,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R3_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R3,COMPLETE,gadi-cpu-spr-0573.gadi.nci.org.au,83.225,0.0,-78689265.312,58333.217,,,,60758.227,-78689265.312,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R4_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R4,COMPLETE,gadi-cpu-spr-0696.gadi.nci.org.au,47.075,0.0,-78605195.807,34465.2,,,,75056.715,-78605195.807,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R5_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R5,COMPLETE,gadi-cpu-spr-0572.gadi.nci.org.au,933.513,0.0,-78605224.013,647485.522,,,,89369.57,-78605224.013,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R6_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R6,COMPLETE,gadi-cpu-spr-0701.gadi.nci.org.au,1148.636,0.0,-78605217.849,797227.19,,,,103682.594,-78605217.849,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG-R7_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG+R7,COMPLETE,gadi-cpu-spr-0237.gadi.nci.org.au,1148.539,0.0,-78605221.541,792802.165,,,,117995.445,-78605221.541,0.0,0.0
output_cpu_modelwisetest_AA_LG+I+G4_OMP_104_taxa100_run1_tree_1_1000000_iqtree3_AA_INTEL_VANILA_OMP104_LG_100taxa_1000000len_modelwise_te_aa.log,AA,LG+I+G4,100,1000000,cpu_OMP_104,LG,COMPLETE,gadi-cpu-spr-0573.gadi.nci.org.au,21.209,0.0,-83153299.507,15059.98,,,,17766.23,-83153299.507,0.0,0.0
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-G4_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+G4,COMPLETE,gadi-gpu-h200-0013.gadi.nci.org.au,37.077,0.0,-78605196.435,,,,,,-78605196.52,0.08499999344348907,1.0813533609303045e-09
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-G4_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+G4,COMPLETE,gadi-gpu-h200-0008.gadi.nci.org.au,301.394,0.0,-78605196.44,,,,,,-78605196.526,0.085999995470047,1.0940751918558087e-09
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R1_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+R1,COMPLETE,gadi-gpu-h200-0005.gadi.nci.org.au,89.084,0.0,-82958960.162,,,,,,-82958960.162,0.0,0.0
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R2_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+R2,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,485.404,0.0,-79375591.945,,,,,,-79375591.945,0.0,0.0
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R3_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+R3,COMPLETE,gadi-gpu-h200-0005.gadi.nci.org.au,1057.852,0.0,-78686194.513,,,,,,-78686194.513,0.0,0.0
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R4_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+R4,COMPLETE,gadi-gpu-h200-0009.gadi.nci.org.au,10676.281,0.0,-78605197.696,,,,,,-78605197.696,0.0,0.0
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R6_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+R6,COMPLETE,gadi-gpu-h200-0015.gadi.nci.org.au,13239.499,0.0,-78605215.242,,,,,,-78605215.249,0.006999999284744263,8.905260627517097e-11
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I-R7_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I+R7,COMPLETE,gadi-gpu-h200-0004.gadi.nci.org.au,10895.419,0.0,-78605220.905,,,,,,-78605221.579,0.6739999949932098,8.574493926155082e-09
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-I_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+I,COMPLETE,gadi-gpu-h200-0003.gadi.nci.org.au,168.509,0.0,-82958960.162,,,,,,-82958960.162,0.0,0.0
output_cudajolt_modelwise_AA_LG+I+G4_IQTREE_GPU_SHARED_taxa100_run1_tree_1_1000000_iqtree3_AA_IQTREE_GPU_SHARED_H200_LG-R1_100taxa_1000000len_modelwise_te_nt12_jolt_IQTREE_GPU_SHARED_run1_tree_1_1000000_aa_iqtree.log,AA,LG+I+G4,100,1000000,cudajolt_H200,LG+R1,COMPLETE,gadi-gpu-h200-0009.gadi.nci.org.au,13.505,0.0,-83153299.507,,,,,,-83153299.507,0.0,0.0
