file,datatype,model,taxa,sites,hardware,status,nt,host,distinct_patterns,wall_total_s,wall_tree_s,is_resumed,wall_fastml_s,best_logL,energy_cpu_total_J,energy_gpu_total_J,energy_cpu_ts_J,energy_gpu_ts_J,energy_cpu_mf_J,energy_gpu_mf_J,gpu_mem_peak_MB,gpu_mem_cap_MB,gpu_mem_delta_MB,cpu_mem_peak_MB,cpu_mem_cap_MB,wall_mf_s
output_openACC_bfgs_stable_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_nt12_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_stable_H200_nt12,COMPLETE,12.0,gadi-gpu-h200-0015.gadi.nci.org.au,96017,1632.104,817.059,False,18.496,-7541976.86,440886.101,459205.02,223399.064,260635.706,215376.719,196589.099,17178.688,143771.0,16304.0,488.008,1031781.754,815.0450000000001
output_openACC_bfgs_stable_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_stable_V100,COMPLETE,,gadi-gpu-v100-0014.gadi.nci.org.au,96017,2534.477,1480.601,False,23.81,-7541976.86,365936.201,508192.051,213256.493,286163.599,150606.01,219838.919,16891.25,32768.0,16304.0,477.66,385603.227,1053.8759999999997
output_openACC_bfgs_stable_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_V100_LG-I-G4_100taxa_100000len_ninit2_optalg2BFGS_nt12_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,openACC_stable_V100_nt12,COMPLETE,12.0,gadi-gpu-v100-0019.gadi.nci.org.au,96017,3030.408,1498.023,False,31.081,-7541976.86,392930.387,595328.762,194363.216,316956.266,196817.259,276059.58,16889.25,32768.0,16302.0,484.961,385603.215,1532.385
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-G4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0023.gadi.nci.org.au,96017,3.523,0.009,False,,-7541976.853,1246.029,1104.817,2.27,0.0,,,7942.688,143771.0,7068.0,376.875,1031781.777,3.5140000000000002
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-G4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0021.gadi.nci.org.au,96017,311.03,0.004,False,,-7541976.853,83994.02,128033.264,1.0,0.0,,,7942.688,143771.0,7068.0,377.078,1031781.746,311.02599999999995
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R1_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0015.gadi.nci.org.au,96017,1.14,0.009,False,,-70978271.289,515.104,301.113,2.305,0.0,,,2942.688,143771.0,2068.0,389.176,1031781.754,1.131
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R2_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0015.gadi.nci.org.au,96017,6.254,0.009,False,,-7609499.909,2585.073,1838.969,3.054,0.0,,,5452.688,143771.0,4578.0,386.781,1031781.754,6.244999999999999
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R3_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0015.gadi.nci.org.au,96017,5.666,0.008,False,,-7548154.558,2550.044,1676.968,3.164,0.0,,,7604.688,143771.0,6730.0,381.5,1031781.754,5.658
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0015.gadi.nci.org.au,96017,30.742,0.014,False,,-7541972.878,11553.682,10232.64,5.261,0.0,,,8124.688,143771.0,7250.0,382.688,1031781.754,30.728
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R5_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0026.gadi.nci.org.au,96017,63.582,0.008,False,,-7541974.702,16069.861,22568.903,2.149,0.0,,,9578.688,143771.0,8704.0,389.77,1031781.781,63.574
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R6_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0021.gadi.nci.org.au,96017,97.728,0.004,False,,-7541974.193,27208.154,33834.165,1.1,0.0,,,11096.688,143771.0,10222.0,391.949,1031781.746,97.72399999999999
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I-R7_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0009.gadi.nci.org.au,96017,82.336,0.004,False,,-7541974.015,22672.614,28833.395,1.067,0.0,,,12554.688,143771.0,11680.0,387.027,1031781.785,82.332
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-I_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0013.gadi.nci.org.au,96017,2.921,0.007,False,,-7941914.563,1032.39,861.884,1.891,0.0,,,2760.688,143771.0,1886.0,386.234,1031781.777,2.9139999999999997
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R1_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0019.gadi.nci.org.au,96017,1.299,0.005,False,,-7964675.113,712.84,348.446,1.618,0.0,,,2760.688,143771.0,1886.0,386.102,1031781.766,1.294
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R2_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0009.gadi.nci.org.au,96017,5.855,0.004,False,,-7614626.014,1801.39,1718.708,0.871,0.0,,,5452.688,143771.0,4578.0,382.578,1031781.785,5.851000000000001
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R3_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0023.gadi.nci.org.au,96017,6.347,0.006,False,,-7548506.542,1942.371,1991.842,1.659,0.0,,,7604.688,143771.0,6730.0,382.492,1031781.777,6.341
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R4_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0020.gadi.nci.org.au,96017,5.23,0.007,False,,-7541972.467,1567.773,1626.865,1.692,0.0,,,8124.688,143771.0,7250.0,382.645,1031781.766,5.223000000000001
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R5_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0020.gadi.nci.org.au,96017,69.969,0.004,False,,-7541974.075,25638.102,24379.854,1.456,0.0,,,9578.688,143771.0,8704.0,389.594,1031781.766,69.96499999999999
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R6_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0010.gadi.nci.org.au,96017,87.602,0.033,False,,-7541974.46,24216.127,30782.494,8.289,0.0,,,11096.688,143771.0,10222.0,391.844,1031781.785,87.569
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG-R7_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0015.gadi.nci.org.au,96017,81.302,0.007,False,,-7541974.081,31467.666,28151.285,2.613,0.0,,,12554.688,143771.0,11680.0,387.031,1031781.754,81.295
output_openacc_stable_modelwise_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_H200_LG_100taxa_100000len_modelwise_te_OPENACC_run1_tree_1_100000_aa_iqtree.log,AA,LG+I+G4,100,100000,unknown,COMPLETE,,gadi-gpu-h200-0027.gadi.nci.org.au,96017,1.165,0.007,False,,-7964675.113,537.615,325.889,2.125,0.0,,,2760.688,143771.0,1886.0,386.117,1031781.789,1.1580000000000001
