run,hardware,test,datatype,sites,wall_s,speedup_vs_CLX,energy_J,energy_ratio_vs_CLX,best_logL
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000000len_ninit2_MTEST_OPENACC_run1_tree_1_1000000_iqtree,GPU_V100,MTEST,DNA,1000000,5081.386,2.071823711089848,1686080.973,0.4179702242267411,-59208019.245
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000000_iqtree,GPU_V100,UFBOOT1000,DNA,1000000,10047.411,1.1532149923995347,2765330.427,0.6114501755025998,-59208019.245
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree,GPU_H200,MTEST,DNA,100000,387.166,0.6913804414643847,176298.532,1.5969914278891721,-5692984.527
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_100000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_100000_iqtree,GPU_H200,UFBOOT1000,DNA,100000,620.631,0.5326014975081812,313504.907,2.10056874604977,-5692984.527
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_MTEST_OPENACC_run1_tree_1_100000_iqtree,GPU_V100,MTEST,DNA,100000,741.95,0.36077768043668706,238581.87099999998,2.161181936765986,-5692984.529
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_100000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_100000_iqtree,GPU_V100,UFBOOT1000,DNA,100000,1265.858,0.26112644546228725,322839.84,2.163115353992556,-5692984.529
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000len_ninit2_MIXGTR_OPENACC_run1_tree_1_1000_iqtree,GPU_H200,MIXGTR,DNA,1000,25.451,1.3102432124474481,14133.828000000001,1.2734952093327594,-159854.861
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_DNA_OPENACC_H200_GTR-I-G4_100taxa_1000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000_iqtree,GPU_H200,UFBOOT1000,DNA,1000,301.34,0.28407778588969274,167405.429,5.851098939853004,-56180.293
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000len_ninit2_MIXGTR_OPENACC_run1_tree_1_1000_iqtree,GPU_V100,MIXGTR,DNA,1000,19.76,1.6876012145748986,3769.638,0.33965433383784804,-159858.51
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000len_ninit2_MTEST_OPENACC_run1_tree_1_1000_iqtree,GPU_V100,MTEST,DNA,1000,314.143,0.15588123879889096,63523.247,3.8783085968463125,-56180.293
output_more_tests_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000_iqtree3_DNA_OPENACC_V100_GTR-I-G4_100taxa_1000len_ninit2_UFBOOT1000_OPENACC_run1_tree_1_1000_iqtree,GPU_V100,UFBOOT1000,DNA,1000,388.07,0.22058906898240008,75668.852,2.644752576794232,-56180.293
