data_type,exec_type,length,threads,compiler,wall_total_sec,cpu_total_sec,wall_treesearch_sec,best_lnl,iterations,completed,model,command,wall_total_min,wall_treesearch_min,length_label,config_label
DNA,OMP_48,1000000,48,GCC,16874.486,698178.19,8855.097,-59208019.212,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3 -seed 1 -nt 48,281.24143333333336,147.58495,1M,GCC 48T
DNA,VANILA,1000000,1,GCC,160646.289,158735.674,66652.104,-59208019.212,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_1000000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_1000000_iqtree3_VANILA_run1_tree_1_1000000_iqtree -seed 1,2677.43815,1110.8684,1M,GCC 1T
AA,GPU_A100,10000,1,GPU_A100,741.859,619.621,530.709,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_A100_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1,12.364316666666667,8.845149999999999,10K,GPU A100
AA,GPU_H200,10000,1,GPU_H200,377.02,375.084,271.296,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1,6.283666666666666,4.5216,10K,GPU H200
AA,GPU_V100,10000,1,GPU_V100,593.847,590.843,412.637,-807350.031,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1,9.89745,6.877283333333334,10K,GPU V100
AA,GPU_H200,100000,1,GPU_H200,1367.078,1353.725,991.076,-7541976.86,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1,22.784633333333332,16.517933333333335,100K,GPU H200
AA,GPU_V100,100000,1,GPU_V100,2905.543,2723.17,2065.578,-7541976.86,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1,48.425716666666666,34.4263,100K,GPU V100
DNA,GPU_A100,10000,1,GPU_A100,646.964,545.93,435.813,-564208.775,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1,10.782733333333335,7.2635499999999995,10K,GPU A100
DNA,GPU_H200,10000,1,GPU_H200,275.252,274.99,201.612,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1,4.587533333333334,3.3602,10K,GPU H200
DNA,GPU_V100,10000,1,GPU_V100,393.366,392.924,252.778,-564208.776,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1,6.5561,4.2129666666666665,10K,GPU V100
DNA,GPU_A100,100000,1,GPU_A100,958.752,813.285,540.329,-5692984.529,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1,15.979199999999999,9.005483333333332,100K,GPU A100
DNA,GPU_H200,100000,1,GPU_H200,516.057,509.792,298.09,-5692984.527,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1,8.600950000000001,4.968166666666666,100K,GPU H200
DNA,GPU_V100,100000,1,GPU_V100,1000.451,990.662,581.892,-5692984.529,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1,16.674183333333335,9.698200000000002,100K,GPU V100
DNA,GPU_A100,1000000,1,GPU_A100,4523.878,3837.279,2472.475,-59208019.248,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1,75.39796666666666,41.20791666666666,1M,GPU A100
DNA,GPU_H200,1000000,1,GPU_H200,2673.447,2605.771,1571.067,-59208019.245,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1,44.55745,26.184450000000002,1M,GPU H200
DNA,GPU_V100,1000000,1,GPU_V100,6975.073,6864.801,4102.941,-59208019.245,102.0,True,GTR+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_1000000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_1000000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_1000000len_OPENACC_run1_tree_1_1000000_iqtree -seed 1,116.25121666666668,68.38235,1M,GPU V100
AA,GPU_A100,100000,1,GPU_A100,2272.027,2209.026,1644.446,-7541976.858,102.0,True,LG+I+G4,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_AA_OPENACC_LG-I-G4_A100_100taxa_100000len_OPENACC_run1_tree_1_100000_aa_iqtree -seed 1,37.86711666666667,27.407433333333334,100K,GPU A100
