Data Type,Config,Length,TreeSearch (sec),TreeSearch (min),TreeSearch (hm),Command
AA,GCC 10T,10K,771.9,12.9,13m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_aa -seed 1 -nt 10
AA,GCC 1T,10K,6326.6,105.4,1h45m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_VANILA_taxa100_run1_tree_1_10000_iqtree3_VANILA_run1_tree_1_10000_aa_iqtree -seed 1
AA,GCC 48T,10K,422.9,7.0,7m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_aa -seed 1 -nt 48
AA,GPU A100,10K,530.7,8.8,9m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_A100_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1
AA,GPU H200,10K,271.3,4.5,5m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_H200_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1
AA,GPU V100,10K,412.6,6.9,7m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_AA_LG+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_AA_OPENACC_LG-I-G4_V100_100taxa_10000len_OPENACC_run1_tree_1_10000_aa_iqtree -seed 1
AA,Clang 10T,1M,70168.1,1169.5,19h29m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_10_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP10_LG-I-G4_100taxa_1000000len_aa -seed 1 -nt 10
AA,Clang 48T,1M,36484.7,608.1,10h08m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_1000000.phy --prefix output_CLANG_TESTS_AA_LG+I+G4_OMP_48_taxa100_run1_tree_1_1000000_iqtree3_AA_CLANG_VANILA_OMP48_LG-I-G4_100taxa_1000000len_aa -seed 1 -nt 48
DNA,Clang 10T,100K,886.5,14.8,15m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_100000len -seed 1 -nt 10
DNA,Clang 1T,100K,7351.6,122.5,2h03m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_100000len_CLANG_VANILA_run1_tree_1_100000_iqtree -seed 1
DNA,Clang 48T,100K,521.4,8.7,9m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_100000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_100000len -seed 1 -nt 48
DNA,GCC 10T,100K,958.5,16.0,16m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_100000_iqtree3 -seed 1 -nt 10
DNA,GCC 1T,100K,5511.5,91.9,1h32m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_100000_iqtree3_VANILA_run1_tree_1_100000_iqtree -seed 1
DNA,GCC 48T,100K,744.0,12.4,12m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_100000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_100000_iqtree3 -seed 1 -nt 48
DNA,GPU A100,100K,540.3,9.0,9m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1
DNA,GPU H200,100K,298.1,5.0,5m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1
