Data Type,Config,Length,Wall Total (sec),Wall Total (min),Wall Total (hm),Command
DNA,GPU A100,100K,958.8,16.0,16m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1
DNA,GPU H200,100K,516.1,8.6,9m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-h200/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_H200_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1
DNA,GPU V100,100K,1000.5,16.7,17m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-v100/iqtree3 -s alignment_100000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_100000_iqtree3_DNA_OPENACC_GTR-I-G4_V100_100taxa_100000len_OPENACC_run1_tree_1_100000_iqtree -seed 1
DNA,Clang 10T,10K,128.7,2.1,2m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP10_GTR-I-G4_100taxa_10000len -seed 1 -nt 10
DNA,Clang 1T,10K,786.2,13.1,13m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_CLANG_VANILA_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_GTR-I-G4_100taxa_10000len_CLANG_VANILA_run1_tree_1_10000_iqtree -seed 1
DNA,Clang 48T,10K,188.1,3.1,3m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-auto/builds/build-clang-vanila/iqtree3 -s alignment_10000.phy --prefix output_CLANG_TESTS_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3_DNA_CLANG_VANILA_OMP48_GTR-I-G4_100taxa_10000len -seed 1 -nt 48
DNA,GCC 10T,10K,236.6,3.9,4m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_10_taxa100_run1_tree_1_10000_iqtree3 -seed 1 -nt 10
DNA,GCC 1T,10K,898.4,15.0,15m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_VANILA_taxa100_run1_tree_1_10000_iqtree3_VANILA_run1_tree_1_10000_iqtree -seed 1
DNA,GCC 48T,10K,295.3,4.9,5m,/scratch/dx61/sa0557/iqtree2/ci-cd-nonrev/builds/build-vanila/iqtree3 -s alignment_10000.phy --prefix output_fulltest_notree_DNA_GTR+I+G4_OMP_48_taxa100_run1_tree_1_10000_iqtree3 -seed 1 -nt 48
DNA,GPU A100,10K,647.0,10.8,11m,/scratch/dx61/sa0557/iqtree2/ci-cd-mem-less/builds/build-nvhpc-openacc-a100/iqtree3 -s alignment_10000.phy --prefix output_test_cases_DNA_GTR+I+G4_OPENACC_taxa100_run1_tree_1_10000_iqtree3_DNA_OPENACC_GTR-I-G4_A100_100taxa_10000len_OPENACC_run1_tree_1_10000_iqtree -seed 1
