data_type,tree_type,model,tree_num,build,is_verbose,log_likelihood,rates_info
AA,rooted,LG+R4,tree_10,VANILA,False,-53.2021,"(0.2416,0.1506) (0.2409,0.5793) (0.2574,1.3504) (0.2602,1.8315) [1         0.1506         0.2416 |   2         0.5793         0.2409 |   3         1.3504         0.2574 |   4         1.8315         0.2602]"
AA,rooted,LG+R4,tree_10,VANILA,True,-53.202111,"(0.241581,0.150641) (0.240877,0.579293) (0.257357,1.350445) (0.260186,1.831476) [1         0.150641       0.241581 |   2         0.579293       0.240877 |   3         1.350445       0.257357 |   4         1.831476       0.260186]"
AA,rooted,LG+R4,tree_2,OPENACC,False,-48.1782,"(0.2031,0.9248) (0.2575,1.0030) (0.2791,1.0220) (0.2603,1.0321) [1         0.9248         0.2031 |   2         1.0030         0.2575 |   3         1.0220         0.2791 |   4         1.0321         0.2603]"
AA,rooted,LG+R4,tree_2,OPENACC,True,-48.178226,"(0.203121,0.924760) (0.257516,1.003033) (0.279099,1.022008) (0.260265,1.032119) [1         0.924760       0.203121 |   2         1.003033       0.257516 |   3         1.022008       0.279099 |   4         1.032119       0.260265]"
AA,rooted,LG+R4,tree_2,VANILA,False,-48.1782,"(0.2031,0.9246) (0.2575,1.0030) (0.2791,1.0222) (0.2603,1.0320) [1         0.9246         0.2031 |   2         1.0030         0.2575 |   3         1.0222         0.2791 |   4         1.0320         0.2603]"
AA,rooted,LG+R4,tree_2,VANILA,True,-48.178228,"(0.203121,0.924648) (0.257516,1.003007) (0.279098,1.022222) (0.260264,1.032003) [1         0.924648       0.203121 |   2         1.003007       0.257516 |   3         1.022222       0.279098 |   4         1.032003       0.260264]"
AA,rooted,LG+R4,tree_3,OPENACC,False,-55.1647,"(0.2233,0.1628) (0.2399,0.8008) (0.2736,1.3218) (0.2632,1.5574) [1         0.1628         0.2233 |   2         0.8008         0.2399 |   3         1.3218         0.2736 |   4         1.5574         0.2632]"
AA,rooted,LG+R4,tree_3,OPENACC,True,-55.164687,"(0.223300,0.162849) (0.239937,0.800798) (0.273607,1.321813) (0.263156,1.557392) [1         0.162849       0.223300 |   2         0.800798       0.239937 |   3         1.321813       0.273607 |   4         1.557392       0.263156]"
AA,rooted,LG+R4,tree_3,VANILA,False,-55.1647,"(0.2233,0.1628) (0.2399,0.8008) (0.2736,1.3218) (0.2632,1.5574) [1         0.1628         0.2233 |   2         0.8008         0.2399 |   3         1.3218         0.2736 |   4         1.5574         0.2632]"
AA,rooted,LG+R4,tree_3,VANILA,True,-55.164687,"(0.223300,0.162849) (0.239937,0.800798) (0.273607,1.321813) (0.263156,1.557392) [1         0.162849       0.223300 |   2         0.800798       0.239937 |   3         1.321813       0.273607 |   4         1.557392       0.263156]"
