data_type,tree_type,model,tree_num,final_ll_vanila,optimal_ll_vanila,best_score_vanila,opt_rounds_vanila,opt_time_vanila,wallclock_time_vanila,final_ll_openacc,optimal_ll_openacc,best_score_openacc,opt_rounds_openacc,opt_time_openacc,wallclock_time_openacc,has_underflow_openacc,n_underflow_deriv_openacc,n_underflow_sites_openacc,has_nan_rates_openacc,_merge,ll_diff,ll_abs_diff,ll_match,rounds_diff
DNA,unrooted,GTR+G4,9,-28.1319,-28.132,-28.132,4.0,0.003,0.01,-28.1319,-28.132,-28.132,4.0,0.065,0.082,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+G4,10,-30.5395,-30.539,-30.539,6.0,0.003,0.01,-30.5394,-30.539,-30.539,6.0,0.08,0.101,False,0,0,False,both,9.999999999976694e-05,9.999999999976694e-05,True,0.0
DNA,unrooted,GTR+I,1,-22.4664,-22.466,-22.466,6.0,0.003,0.02,-22.4664,-22.466,-22.466,6.0,0.067,0.082,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,2,-34.6638,-34.664,-34.664,10.0,0.003,0.012,-34.6638,-34.664,-34.664,10.0,0.116,0.125,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,3,-24.437,-24.437,-24.437,4.0,0.001,0.009,-24.437,-24.437,-24.437,4.0,0.053,0.079,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,4,-17.9419,-17.942,-17.942,3.0,0.002,0.009,-17.9419,-17.942,-17.942,3.0,0.049,0.058,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,5,-24.1045,-24.104,-24.104,3.0,0.001,0.009,-24.1045,-24.104,-24.104,3.0,0.046,0.095,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,6,-22.6284,-22.628,-22.628,3.0,0.001,0.009,-22.6284,-22.628,-22.628,3.0,0.049,0.069,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,7,-25.9965,-25.996,-25.996,4.0,0.002,0.014,-25.9965,-25.996,-25.996,4.0,0.069,0.198,False,0,0,False,both,0.0,0.0,True,0.0
DNA,unrooted,GTR+I,8,-19.9932,-19.993,-19.993,3.0,0.003,0.012,-19.9932,-19.993,-19.993,3.0,0.084,0.1,False,0,0,False,both,0.0,0.0,True,0.0
