data_type,topology,model,tree,ll_OPENACC,ll_VANILA,ll_diff,underflow_OPENACC,underflow_VANILA,pinvar_OPENACC,pinvar_VANILA,gamma_OPENACC,gamma_VANILA,opt_time_OPENACC,opt_time_VANILA
AA,rooted,LG+I,tree_1,-57.2194,-57.2194,0.0,0,0,0.4965,0.4965,,,0.034,0.002
AA,rooted,LG+I,tree_10,-42.5409,-42.5409,0.0,0,0,0.6247,0.6247,,,0.023,0.001
AA,rooted,LG+I,tree_2,-47.2156,-47.2156,0.0,0,0,0.0,0.0,,,0.037,0.002
AA,rooted,LG+I,tree_3,-40.3739,-40.3739,0.0,0,0,0.6243,0.6243,,,0.023,0.002
AA,rooted,LG+I,tree_4,-53.4773,-53.4773,0.0,0,0,0.1352,0.1352,,,0.023,0.002
AA,rooted,LG+I,tree_5,-57.3439,-57.3439,0.0,0,0,0.2541,0.2541,,,0.021,0.001
AA,rooted,LG+I,tree_6,-51.0907,-51.0907,0.0,0,0,0.0,0.0,,,0.046,0.003
AA,rooted,LG+I,tree_7,-56.392,-56.392,0.0,0,0,0.0032,0.0032,,,0.032,0.001
AA,rooted,LG+I,tree_8,-41.0619,-41.0619,0.0,0,0,0.0,0.0,,,0.042,0.002
AA,rooted,LG+I,tree_9,-28.9629,-28.9629,0.0,0,0,0.9999,0.9999,,,0.026,0.001
AA,rooted,LG+I+G4,tree_1,-44.8068,-44.8068,0.0,0,0,0.5198,0.5198,0.1826,0.1826,0.985,0.078
AA,rooted,LG+I+G4,tree_10,-42.3753,-42.3753,0.0,0,0,0.0,0.0,0.02,0.02,0.499,0.042
AA,rooted,LG+I+G4,tree_2,-45.2131,-45.2131,0.0,0,0,0.0,0.0,998.4415,998.4415,0.604,0.052
AA,rooted,LG+I+G4,tree_3,-28.9853,-28.9853,0.0,0,0,1.0,1.0,0.9517,0.9517,0.29,0.027
AA,rooted,LG+I+G4,tree_4,-46.584,-46.584,0.0,0,0,0.6798,0.6798,998.4561,998.4561,0.757,0.066
AA,rooted,LG+I+G4,tree_5,-36.2596,-36.2596,0.0,0,0,0.0,0.0,998.4459,998.4459,0.372,0.034
AA,rooted,LG+I+G4,tree_6,-42.1374,-42.1374,0.0,0,0,0.7013,0.7013,998.4477,998.4477,0.382,0.028
AA,rooted,LG+I+G4,tree_7,-46.5342,-46.5342,0.0,0,0,0.0,0.0,998.4473,998.4473,1.0,0.084
