backend,taxa,sites,patterns,likelihood,time,treefile,run_number
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.957,tree_5,run9
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.021,tree_5,run2
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.685,tree_5,run10
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.955,tree_5,run1
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.099,tree_5,run1
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.917,tree_5,run2
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,2.027,tree_5,run3
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.659,tree_5,run4
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,1.021,tree_5,run5
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.231,tree_5,run3
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.026,tree_5,run5
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.683,tree_5,run2
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.909,tree_5,run10
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.94,tree_5,run3
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.279,tree_5,run6
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-109757143.329,13.235,tree_5,run8
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-109757143.329,0.91,tree_5,run4
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-109757143.329,1.681,tree_5,run5
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.898,tree_6,run1
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,13.104,tree_6,run3
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.884,tree_6,run7
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.628,tree_6,run6
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.61,tree_6,run9
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.909,tree_6,run8
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.892,tree_6,run1
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,13.072,tree_6,run8
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,13.145,tree_6,run6
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.914,tree_6,run9
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.637,tree_6,run8
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,12.93,tree_6,run5
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.63,tree_6,run10
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.639,tree_6,run7
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.896,tree_6,run6
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,13.148,tree_6,run4
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,12.986,tree_6,run10
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.936,tree_6,run5
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.642,tree_6,run4
IQ-TREE_CPU_10_CORES,100,1000000,1000000,-102915332.041,1.733,tree_6,run3
IQ-TREE_CPU_48_CORES,100,1000000,1000000,-102915332.041,0.886,tree_6,run2
IQ-TREE_CPU_1_CORE,100,1000000,1000000,-102915332.041,12.926,tree_6,run7
